Operator,Working set,Memory use,MACs
MobileNetV3Large_1/re_lu_16_1/Relu6;MobileNetV3Large_1/Add_5;MobileNetV3Large_1/expanded_conv_12_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_12_squeeze_excite_conv_1_2/convolution;,227 229 230,6048,112896
MobileNetV3Large_1/Mul_5,227 230 231,8064,0
MobileNetV3Large_1/expanded_conv_12_squeeze_excite_mul_1/Mul,227 231 232,8064,0
MobileNetV3Large_1/expanded_conv_12_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_12_project_1/convolution;,232 233,3328,107520
MobileNetV3Large_1/expanded_conv_13_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_13_expand_1/convolution;,233 234,4480,153600
MobileNetV3Large_1/activation_15_1/mul;;MobileNetV3Large_1/activation_15_1/Relu6;MobileNetV3Large_1/activation_15_1/add;MobileNetV3Large_1/activation_15_1/truediv,233 234 235,8320,0
MobileNetV3Large_1/expanded_conv_13_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_13_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_13_depthwise_1/depthwise;,233 235 236,8320,24000
MobileNetV3Large_1/activation_16_1/mul;;MobileNetV3Large_1/activation_16_1/Relu6;MobileNetV3Large_1/activation_16_1/add;MobileNetV3Large_1/activation_16_1/truediv,233 236 237,8320,0
MobileNetV3Large_1/expanded_conv_13_squeeze_excite_avg_pool_1/Mean,233 237 238,8320,960
MobileNetV3Large_1/expanded_conv_13_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_13_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_13_squeeze_excite_conv_1/convolution;,233 237 238 239,9280,230400
MobileNetV3Large_1/re_lu_17_1/Relu6;MobileNetV3Large_1/Add_6;MobileNetV3Large_1/expanded_conv_13_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_13_squeeze_excite_conv_1_2/convolution;,233 237 239 240,9280,230400
MobileNetV3Large_1/Mul_6,233 237 240 241,12160,0
MobileNetV3Large_1/expanded_conv_13_squeeze_excite_mul_1/Mul,233 237 241 242,12160,0
MobileNetV3Large_1/expanded_conv_13_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_13_project_1/convolution;,233 242 243,5120,153600
MobileNetV3Large_1/expanded_conv_13_add_1/Add,233 243 244,1920,160
MobileNetV3Large_1/expanded_conv_14_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_14_expand_1/convolution;,244 245,4480,153600
MobileNetV3Large_1/activation_17_1/mul;;MobileNetV3Large_1/activation_17_1/Relu6;MobileNetV3Large_1/activation_17_1/add;MobileNetV3Large_1/activation_17_1/truediv,244 245 246,8320,0
MobileNetV3Large_1/expanded_conv_14_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_14_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_14_depthwise_1/depthwise;,244 246 247,8320,24000
MobileNetV3Large_1/activation_18_1/mul;;MobileNetV3Large_1/activation_18_1/Relu6;MobileNetV3Large_1/activation_18_1/add;MobileNetV3Large_1/activation_18_1/truediv,244 247 248,8320,0
MobileNetV3Large_1/expanded_conv_14_squeeze_excite_avg_pool_1/Mean,244 248 249,8320,960
MobileNetV3Large_1/expanded_conv_14_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_14_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_14_squeeze_excite_conv_1/convolution;,244 248 249 250,9280,230400
MobileNetV3Large_1/re_lu_18_1/Relu6;MobileNetV3Large_1/Add_7;MobileNetV3Large_1/expanded_conv_14_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_14_squeeze_excite_conv_1_2/convolution;,244 248 250 251,9280,230400
MobileNetV3Large_1/Mul_7,244 248 251 252,12160,0
MobileNetV3Large_1/expanded_conv_14_squeeze_excite_mul_1/Mul,244 248 252 253,12160,0
